Sample	Decade	Wheat cultivar	Crude_protein_mg_g	Crude_protein_mg_g.var	Albumins-globulins_mg_g	Albumins-globulins_mg_g.var	Gliadins_mg_g	Gliadins_mg_g.var	Glutenins_mg_g	Glutenins_mg_g.var	Gluten_mg_g	Gluten_mg_g.var	Gliadin_Glutenin_ratio	omega5-gliadins	omega5-gliadins.var	omega1-2-gliadins	omega1-2-gliadins.var	alpha-gliadins	alpha-gliadins.var	gamma-gliadins_mg_g	gamma-gliadins_mg_g.var	omega-b-gliadins_mg_g	omega-b-gliadins_mg_g.var	HMW-GS	HMW-GS.var	LMW-GS	LMW-GS.var
1	1891-1900	Rimpaus Früher Bastard	94.2	1.6	15.7	0	37.9	0.8	18.6	1.1	56.5	0.5	2	1.9	0	2.4	0	19.4	0.4	14.1	0.3	0.6	0	4.6	0.2	13.3	0.8
2	1891-1900	Rimpaus Dickkopf	80.7	0	13.9	0.5	37.7	1.7	16.1	0.8	53.8	2.5	2.3	1.8	0.2	3.3	0.4	19	0.8	13.7	0.4	0.7	0	3.7	0.2	11.7	0.6
3	1891-1900	Strubes Dickkopf	77.5	0.1	14.1	0.5	38.7	0.6	13.3	0.1	52	0.5	2.9	1.5	0	3.7	0	17.4	0.3	16	0.2	0.5	0	2.9	0.1	10	0.1
4	1891-1900	Cimbals Großherzog von Sachsen	78.9	0	14.8	0.1	36.1	0.5	16.8	0.3	52.9	0.8	2.2	2.5	0	4.1	0	17.2	0.2	12.3	0.2	0.7	0	4.3	0.1	11.8	0.2
5	1891-1900	Steigers Leutewitzer Dickkopf	61.5	1.3	12.4	1.1	26.8	0.7	12	0.3	38.8	0.5	2.2	1.3	0	2.5	0	12.4	0.3	10.5	0.3	0.5	0	2.7	0.1	8.9	0.2
6	1901-1910	Breustedts Extra Dickkopf	92.8	0	15.7	0.4	45	0.2	15.5	0.2	60.5	0.1	2.9	2.2	0	4.3	0	20.8	0.1	17.7	0.1	0.7	0	3.1	0.1	11.7	0.2
7	1901-1910	Janetzkis Früher Kreuzung	83.2	0.7	13.9	0.4	39.5	0.5	16	1	55.5	1.3	2.5	2	0	3	0.1	19.8	0.3	14.6	0.3	0.7	0	3.7	0.3	11.6	0.7
8	1901-1910	Kraffts Siegerländer	76.4	1.3	13.8	0.1	35.8	1.3	16.7	0.6	52.6	1.2	2.1	1.7	0	3.5	0	17.7	0.7	12.9	0.5	0.6	0	4.2	0.1	11.9	0.5
9	1901-1910	Ruppiner Brauner Landweizen	71.9	0.1	13	0.1	36.8	0.4	9.4	0.6	46.2	0.2	3.9	1.6	0	3.8	0	17.7	0.2	13.6	0.1	0.4	0	2	0.1	7	0.4
10	1901-1910	Ackermanns Brauner Dickkopf	74.4	0	13	0.2	35.1	0.5	14.8	0.9	49.9	0.3	2.4	1.7	0	4	0	16.4	0.2	13.1	0.3	0.6	0	3.6	0.2	10.6	0.6
11	1911-1920	Lembkes Obotriten Weizen	78.4	0	14.3	0.4	36.4	0.5	14.9	0.8	51.2	1.2	2.4	2.2	0	4.1	0	14.3	0.1	15.7	0.3	0.7	0	3.3	0.2	10.8	0.6
12	1911-1920	Heinrichs von Hindenburg	71.2	0.1	15	0.3	30.6	0.6	13.5	0.4	44.1	0.9	2.3	1.8	0	3.2	0.1	14.4	0.3	11.3	0.3	0.5	0	2.9	0.1	10	0.3
13	1911-1920	Friedrichswerther Berggoldweizen	73.8	0.7	13.9	0.2	35.4	0.1	13.2	0.5	48.6	0.4	2.7	1.4	0	3.7	0	15.8	0.1	14.5	0.1	0.4	0	2.9	0.1	9.9	0.4
